record_id,sector,status,authentic,priority,units,multiplier,bias_key
R0001,traffic,ACTIVE,1,7,220,1,2390
R0002,water,ACTIVE,1,7,220,1,2390
R0003,emergency,ACTIVE,1,4,220,1,2390
R0004,transit,ACTIVE,1,5,220,1,2390
R0005,waste,ACTIVE,1,6,220,1,2390
R0006,transit,ACTIVE,1,6,220,1,2390
R0007,transit,ACTIVE,1,7,220,1,2390
R0008,water,ACTIVE,1,6,220,1,2390
R0009,water,ACTIVE,1,7,220,1,2390
R0010,power,ACTIVE,1,5,220,1,2390
R0011,waste,ACTIVE,1,7,220,1,2390
R0012,emergency,ACTIVE,1,6,220,1,2390
R0013,communications,ACTIVE,1,7,220,1,2390
R0014,waste,ACTIVE,1,5,220,1,2390
R0015,water,ACTIVE,1,6,220,1,2390
R0016,water,ACTIVE,1,5,220,1,2390
R0017,water,ACTIVE,1,4,220,1,2390
R0018,power,ACTIVE,1,5,220,1,2390
R0019,waste,ACTIVE,1,4,220,1,2390
R0020,emergency,ACTIVE,1,7,220,1,2390
R0021,traffic,ACTIVE,1,5,220,1,2390
R0022,emergency,ACTIVE,1,6,220,1,2390
R0023,traffic,COMPLETE,1,6,10,84,2390
R0024,waste,ACTIVE,1,6,220,1,2390
R0025,transit,ACTIVE,1,7,220,1,2390
R0026,traffic,ACTIVE,1,4,220,1,2390
R0027,communications,ACTIVE,1,4,220,1,2390
R0028,power,ACTIVE,1,6,220,1,2390
R0029,transit,ACTIVE,1,7,220,1,2390
R0030,waste,ACTIVE,1,4,220,1,2390
R0031,emergency,ACTIVE,1,5,220,1,2390
R0032,waste,ACTIVE,1,6,220,1,2390
R0033,traffic,ACTIVE,1,7,220,1,2390
R0034,transit,ACTIVE,1,5,220,1,2390
R0035,traffic,ACTIVE,1,7,220,1,2390
R0036,water,ACTIVE,1,4,220,1,2390
R0037,emergency,ACTIVE,1,7,220,1,2390
R0038,emergency,ACTIVE,1,7,220,1,2390
R0039,traffic,ACTIVE,1,4,220,1,2390
R0040,water,ACTIVE,1,4,220,1,2390
R0041,transit,ACTIVE,1,7,220,1,2390
R0042,water,ACTIVE,1,5,220,1,2390
R0043,traffic,ACTIVE,1,5,220,1,2390
R0044,transit,ACTIVE,1,4,220,1,2390
R0045,transit,ACTIVE,1,5,220,1,2390
R0046,emergency,ACTIVE,1,5,220,1,2390
R0047,water,ACTIVE,1,4,220,1,2390
R0048,waste,ACTIVE,1,5,220,1,2390
R0049,traffic,ACTIVE,1,5,220,1,2390
R0050,communications,ACTIVE,1,5,220,1,2390
R0051,power,ACTIVE,1,7,220,1,2390
R0052,emergency,ACTIVE,1,7,220,1,2390
R0053,emergency,ACTIVE,1,4,220,1,2390
R0054,waste,ACTIVE,1,6,220,1,2390
R0055,power,ACTIVE,1,7,220,1,2390
R0056,waste,ACTIVE,1,5,220,1,2390
R0057,emergency,INACTIVE,1,6,47,79,2390
R0058,water,ACTIVE,1,4,220,1,2390
R0059,waste,ACTIVE,1,4,220,1,2390
R0060,water,ACTIVE,1,4,220,1,2390
R0061,traffic,ACTIVE,1,5,220,1,2390
R0062,water,ACTIVE,1,5,220,1,2390
R0063,transit,ACTIVE,1,4,220,1,2390
R0064,communications,ACTIVE,1,7,220,1,2390
R0065,traffic,ACTIVE,1,7,220,1,2390
R0066,waste,ACTIVE,1,6,220,1,2390
R0067,emergency,ACTIVE,1,7,220,1,2390
R0068,water,ACTIVE,1,6,220,1,2390
R0069,communications,ACTIVE,1,6,220,1,2390
R0070,waste,ACTIVE,1,4,220,1,2390
R0071,water,ACTIVE,1,5,220,1,2390
R0072,traffic,ACTIVE,1,6,220,1,2390
R0073,water,ACTIVE,1,7,220,1,2390
R0074,power,ACTIVE,1,4,220,1,2390
R0075,water,ACTIVE,1,7,220,1,2390
R0076,emergency,ACTIVE,1,5,220,1,2390
R0077,water,ACTIVE,1,5,220,1,2390
R0078,power,ACTIVE,1,7,220,1,2390
R0079,waste,ACTIVE,1,5,220,1,2390
R0080,waste,ACTIVE,1,4,220,1,2390
R0081,emergency,ACTIVE,1,7,220,1,2390
R0082,power,ACTIVE,1,7,220,1,2390
R0083,waste,ACTIVE,1,7,220,1,2390
R0084,water,ACTIVE,1,7,220,1,2390
R0085,waste,ACTIVE,1,4,220,1,2390
R0086,transit,ACTIVE,1,6,220,1,2390
R0087,emergency,ACTIVE,1,4,220,1,2390
R0088,communications,ACTIVE,1,6,220,1,2390
R0089,communications,ACTIVE,1,5,220,1,2390
R0090,power,ACTIVE,1,5,220,1,2390
R0091,emergency,ACTIVE,1,4,220,1,2390
R0092,emergency,ACTIVE,1,7,220,1,2390
R0093,communications,ACTIVE,1,7,220,1,2390
R0094,power,ACTIVE,1,7,220,1,2390
R0095,waste,ACTIVE,1,2,156,92,2390
R0096,emergency,ACTIVE,1,4,220,1,2390
R0097,emergency,ACTIVE,1,5,220,1,2390
R0098,communications,ACTIVE,1,4,220,1,2390
R0099,traffic,ACTIVE,1,7,220,1,2390
R0100,communications,ACTIVE,1,6,220,1,2390
R0101,water,ACTIVE,1,7,220,1,2390
R0102,emergency,ACTIVE,1,5,220,1,2390
R0103,traffic,ACTIVE,1,2,115,104,2390
R0104,emergency,ACTIVE,1,7,220,1,2390
R0105,transit,ACTIVE,1,4,220,1,2390
R0106,emergency,ACTIVE,1,6,220,1,2390
R0107,emergency,ACTIVE,1,4,220,1,2390
R0108,waste,ACTIVE,1,4,220,1,2390
R0109,power,ACTIVE,1,6,220,1,2390
R0110,emergency,ACTIVE,1,2,42,133,2390
R0111,waste,ACTIVE,1,5,220,1,2390
R0112,waste,ACTIVE,1,6,220,1,2390
R0113,transit,ACTIVE,1,7,220,1,2390
