reading_id,district,signal_strength,district_code
R0001,sefton_park,70.491,555442
R0002,west_derby,71.466,912924
R0003,bootle,71.536,573715
R0004,garston,71.292,772328
R0005,birkenhead,68.998,339386
R0006,birkenhead,68.776,339386
R0007,mossley_hill,70.492,965305
R0008,sefton_park,71.328,555442
R0009,broadgreen,70.162,833023
R0010,childwall,70.884,307658
R0011,huyton,71.377,718343
R0012,bootle,69.357,573715
R0013,speke,70.963,859507
R0014,garston,72.495,772328
R0015,maghull,71.048,540406
R0016,broadgreen,71.062,833023
R0017,knotty_ash,69.451,427016
R0018,old_swan,69.718,784452
R0019,wavertree,70.823,859590
R0020,broadgreen,69.944,833023
R0021,childwall,69.505,307658
R0022,broadgreen,69.204,833023
R0023,woolton,70.827,444719
R0024,crosby,68.767,766608
R0025,wavertree,71.285,859590
R0026,childwall,71.236,307658
R0027,kirkby,71.411,160719
R0028,sefton_park,72.125,555442
R0029,fazakerley,71.650,652403
R0030,allerton,70.453,649010
R0031,childwall,71.208,307658
R0032,huyton,70.704,718343
R0033,knotty_ash,71.164,427016
R0034,toxteth,70.890,525193
R0035,knotty_ash,69.673,427016
R0036,west_derby,71.555,912924
R0037,wavertree,72.636,859590
R0038,wavertree,72.239,859590
R0039,anfield,71.925,661467
R0040,kirkby,71.367,160719
R0041,sefton_park,71.347,555442
R0042,allerton,68.653,649010
R0043,childwall,71.490,307658
R0044,garston,69.198,772328
R0045,kirkby,72.339,160719
R0046,maghull,71.675,540406
R0047,anfield,67.686,661467
R0048,woolton,71.630,444719
R0049,everton,71.972,558248
R0050,mossley_hill,70.525,965305
R0051,fazakerley,68.917,652403
R0052,woolton,71.044,444719
R0053,knotty_ash,73.420,427016
R0054,broadgreen,70.762,833023
R0055,fazakerley,69.837,652403
R0056,bootle,70.804,573715
R0057,woolton,70.644,444719
R0058,knotty_ash,70.319,427016
R0059,everton,71.562,558248
R0060,west_derby,71.934,912924
R0061,kirkby,68.997,160719
R0062,fazakerley,70.058,652403
R0063,fazakerley,70.806,652403
R0064,bootle,69.159,573715
R0065,kirkby,70.760,160719
R0066,broadgreen,69.337,833023
R0067,wavertree,73.509,859590
R0068,toxteth,68.633,525193
R0069,mossley_hill,69.357,965305
R0070,fazakerley,72.149,652403
R0071,crosby,70.216,766608
R0072,childwall,71.054,307658
R0073,everton,73.917,558248
R0074,wavertree,73.218,859590
R0075,knotty_ash,69.492,427016
R0076,broadgreen,71.263,833023
R0077,speke,72.029,859507
R0078,garston,73.129,772328
R0079,toxteth,71.298,525193
R0080,anfield,73.579,661467
R0081,toxteth,70.117,525193
R0082,anfield,71.472,661467
R0083,everton,72.541,558248
R0084,huyton,70.710,718343
R0085,allerton,71.087,649010
R0086,anfield,71.011,661467
R0087,aigburth,68.753,414427
R0088,woolton,70.280,444719
R0089,toxteth,69.330,525193
R0090,everton,70.016,558248
R0091,fazakerley,71.120,652403
R0092,everton,70.485,558248
R0093,allerton,70.873,649010
R0094,birkenhead,71.006,339386
R0095,allerton,70.911,649010
R0096,knotty_ash,70.665,427016
R0097,fazakerley,69.252,652403
R0098,wavertree,71.524,859590
R0099,broadgreen,70.101,833023
R0100,prescot,72.159,518026
R0101,crosby,69.495,766608
R0102,sefton_park,71.706,555442
R0103,mossley_hill,70.332,965305
R0104,childwall,71.435,307658
R0105,allerton,71.758,649010
R0106,west_derby,70.318,912924
R0107,speke,70.300,859507
R0108,broadgreen,70.261,833023
R0109,knotty_ash,71.039,427016
R0110,fazakerley,69.039,652403
R0111,aigburth,69.853,414427
R0112,broadgreen,70.427,833023
R0113,birkenhead,70.152,339386
R0114,aigburth,72.596,414427
R0115,mossley_hill,71.857,965305
R0116,garston,72.338,772328
R0117,birkenhead,70.625,339386
R0118,garston,70.714,772328
R0119,everton,70.875,558248
R0120,woolton,71.422,444719
R0121,huyton,72.236,718343
R0122,everton,70.450,558248
R0123,maghull,72.589,540406
R0124,old_swan,72.528,784452
R0125,prescot,72.616,518026
R0126,speke,69.958,859507
R0127,old_swan,72.174,784452
R0128,speke,72.415,859507
R0129,mossley_hill,71.944,965305
R0130,allerton,70.908,649010
R0131,kirkdale,71.111,423446
R0132,anfield,71.549,661467
R0133,kirkby,72.641,160719
R0134,everton,73.433,558248
R0135,old_swan,70.767,784452
R0136,anfield,70.405,661467
R0137,wavertree,70.774,859590
R0138,broadgreen,68.395,833023
R0139,speke,69.953,859507
R0140,sefton_park,70.805,555442
R0141,fazakerley,71.372,652403
R0142,everton,71.555,558248
R0143,broadgreen,71.476,833023
R0144,speke,70.470,859507
R0145,allerton,68.857,649010
R0146,toxteth,71.056,525193
R0147,allerton,71.106,649010
R0148,everton,68.871,558248
R0149,everton,70.784,558248
R0150,sefton_park,71.599,555442
R0151,fazakerley,68.050,652403
R0152,toxteth,70.289,525193
R0153,fazakerley,72.486,652403
R0154,sefton_park,72.172,555442
R0155,birkenhead,69.932,339386
R0156,maghull,71.339,540406
R0157,knotty_ash,69.858,427016
R0158,wavertree,70.909,859590
R0159,prescot,71.513,518026
R0160,huyton,71.739,718343
R0161,sefton_park,70.150,555442
R0162,knotty_ash,71.149,427016
R0163,kirkdale,71.037,423446
R0164,fazakerley,69.893,652403
R0165,broadgreen,70.532,833023
R0166,broadgreen,71.213,833023
R0167,old_swan,70.296,784452
R0168,anfield,70.665,661467
R0169,knotty_ash,70.505,427016
R0170,mossley_hill,72.819,965305
R0171,sefton_park,71.947,555442
R0172,kirkdale,71.409,423446
R0173,broadgreen,68.889,833023
R0174,bootle,72.468,573715
R0175,prescot,72.283,518026
R0176,kirkdale,70.823,423446
R0177,kirkby,71.563,160719
R0178,allerton,70.738,649010
R0179,bootle,70.319,573715
R0180,broadgreen,70.833,833023
R0181,maghull,71.056,540406
R0182,huyton,70.074,718343
R0183,kirkdale,71.124,423446
R0184,kirkby,71.995,160719
R0185,knotty_ash,70.988,427016
R0186,huyton,69.955,718343
R0187,broadgreen,68.890,833023
R0188,west_derby,71.224,912924
R0189,sefton_park,70.323,555442
R0190,prescot,70.772,518026
R0191,speke,73.456,859507
R0192,speke,70.640,859507
R0193,woolton,71.500,444719
R0194,garston,74.011,772328
R0195,everton,70.893,558248
R0196,prescot,71.461,518026
R0197,maghull,70.502,540406
R0198,allerton,71.209,649010
R0199,kirkdale,69.839,423446
R0200,sefton_park,71.333,555442
R0201,sefton_park,72.251,555442
R0202,fazakerley,70.963,652403
R0203,wavertree,71.372,859590
R0204,maghull,70.263,540406
R0205,kirkby,69.730,160719
R0206,mossley_hill,72.225,965305
R0207,old_swan,70.364,784452
R0208,everton,69.898,558248
R0209,knotty_ash,69.813,427016
R0210,aigburth,69.763,414427
R0211,speke,69.005,859507
R0212,woolton,70.562,444719
R0213,birkenhead,70.633,339386
R0214,fazakerley,67.626,652403
R0215,sefton_park,71.528,555442
R0216,mossley_hill,71.765,965305
R0217,sefton_park,69.971,555442
R0218,crosby,70.181,766608
R0219,maghull,71.065,540406
R0220,old_swan,71.537,784452
R0221,wavertree,71.165,859590
R0222,bootle,70.505,573715
R0223,west_derby,68.801,912924
R0224,wavertree,72.564,859590
R0225,west_derby,70.733,912924
R0226,birkenhead,71.765,339386
R0227,west_derby,70.417,912924
R0228,kirkby,70.645,160719
R0229,everton,70.804,558248
R0230,everton,74.079,558248
R0231,woolton,70.786,444719
R0232,mossley_hill,71.189,965305
R0233,speke,69.901,859507
R0234,crosby,69.963,766608
R0235,woolton,71.309,444719
R0236,huyton,69.735,718343
R0237,west_derby,72.123,912924
R0238,kirkby,71.901,160719
R0239,west_derby,72.056,912924
R0240,old_swan,71.485,784452
R0241,kirkdale,71.208,423446
R0242,woolton,70.785,444719
R0243,birkenhead,71.870,339386
R0244,wavertree,71.391,859590
R0245,woolton,71.485,444719
R0246,woolton,71.685,444719
R0247,broadgreen,68.910,833023
R0248,childwall,70.917,307658
R0249,toxteth,71.985,525193
R0250,speke,70.592,859507
R0251,broadgreen,72.609,833023
R0252,speke,70.777,859507
R0253,woolton,70.721,444719
R0254,huyton,70.843,718343
R0255,kirkby,72.992,160719
R0256,maghull,69.291,540406
R0257,woolton,71.872,444719
R0258,bootle,68.884,573715
R0259,crosby,70.053,766608
R0260,west_derby,71.524,912924
R0261,toxteth,68.011,525193
R0262,anfield,70.471,661467
R0263,childwall,70.042,307658
R0264,prescot,70.485,518026
R0265,allerton,71.223,649010
R0266,anfield,72.737,661467
R0267,crosby,71.628,766608
R0268,west_derby,70.063,912924
R0269,anfield,70.682,661467
R0270,sefton_park,72.127,555442
R0271,anfield,70.672,661467
R0272,anfield,71.198,661467
R0273,toxteth,70.969,525193
R0274,knotty_ash,70.500,427016
R0275,everton,70.900,558248
R0276,kirkdale,70.930,423446
R0277,kirkdale,72.122,423446
R0278,childwall,70.961,307658
R0279,sefton_park,69.772,555442
R0280,sefton_park,69.830,555442
R0281,sefton_park,71.445,555442
R0282,kirkby,72.399,160719
R0283,bootle,69.617,573715
R0284,kirkdale,69.570,423446
R0285,mossley_hill,71.209,965305
R0286,west_derby,74.327,912924
R0287,allerton,71.147,649010
R0288,broadgreen,71.227,833023
R0289,toxteth,68.949,525193
R0290,maghull,72.767,540406
R0291,broadgreen,72.296,833023
R0292,birkenhead,69.713,339386
R0293,prescot,70.156,518026
R0294,huyton,69.995,718343
R0295,maghull,70.514,540406
R0296,kirkby,71.618,160719
R0297,huyton,73.871,718343
R0298,anfield,68.879,661467
R0299,speke,71.188,859507
R0300,west_derby,70.108,912924
R0301,mossley_hill,70.765,965305
R0302,speke,71.163,859507
R0303,west_derby,70.636,912924
R0304,aigburth,71.135,414427
R0305,speke,70.782,859507
R0306,woolton,71.739,444719
R0307,mossley_hill,70.778,965305
R0308,childwall,69.123,307658
R0309,mossley_hill,69.282,965305
R0310,kirkdale,70.204,423446
R0311,west_derby,71.270,912924
R0312,aigburth,69.473,414427
R0313,bootle,71.321,573715
R0314,maghull,70.831,540406
R0315,toxteth,70.416,525193
R0316,birkenhead,70.585,339386
R0317,aigburth,71.289,414427
R0318,woolton,72.108,444719
R0319,wavertree,71.169,859590
R0320,wavertree,73.502,859590
R0321,crosby,69.593,766608
R0322,aigburth,69.590,414427
R0323,knotty_ash,69.708,427016
R0324,knotty_ash,69.353,427016
R0325,toxteth,68.833,525193
R0326,west_derby,72.656,912924
R0327,mossley_hill,70.055,965305
R0328,wavertree,70.344,859590
R0329,mossley_hill,71.965,965305
R0330,west_derby,70.868,912924
R0331,birkenhead,71.081,339386
R0332,kirkby,70.369,160719
R0333,everton,67.366,558248
R0334,broadgreen,70.295,833023
R0335,aigburth,71.647,414427
R0336,old_swan,70.575,784452
R0337,birkenhead,70.916,339386
R0338,birkenhead,70.372,339386
R0339,aigburth,69.663,414427
R0340,everton,74.501,558248
R0341,old_swan,69.320,784452
R0342,toxteth,68.462,525193
R0343,birkenhead,70.186,339386
R0344,speke,70.071,859507
R0345,garston,70.934,772328
R0346,prescot,72.619,518026
R0347,fazakerley,70.572,652403
R0348,toxteth,70.708,525193
R0349,broadgreen,69.914,833023
R0350,huyton,71.139,718343
R0351,bootle,70.387,573715
R0352,mossley_hill,70.228,965305
R0353,speke,70.916,859507
R0354,crosby,72.205,766608
R0355,birkenhead,68.388,339386
R0356,kirkdale,70.447,423446
R0357,wavertree,71.295,859590
R0358,prescot,70.465,518026
R0359,old_swan,71.852,784452
R0360,toxteth,69.021,525193
R0361,old_swan,69.891,784452
R0362,speke,70.473,859507
R0363,toxteth,70.347,525193
R0364,anfield,73.191,661467
R0365,broadgreen,70.568,833023
R0366,prescot,71.617,518026
R0367,bootle,69.011,573715
R0368,allerton,70.354,649010
R0369,bootle,70.388,573715
R0370,fazakerley,71.258,652403
R0371,everton,71.546,558248
R0372,crosby,70.867,766608
R0373,huyton,71.889,718343
R0374,toxteth,70.370,525193
R0375,kirkby,70.207,160719
R0376,crosby,70.888,766608
R0377,crosby,69.987,766608
R0378,prescot,70.864,518026
R0379,childwall,71.286,307658
R0380,huyton,71.852,718343
R0381,kirkby,70.053,160719
R0382,fazakerley,70.490,652403
R0383,huyton,69.356,718343
R0384,prescot,73.074,518026
R0385,mossley_hill,72.051,965305
R0386,allerton,73.636,649010
R0387,allerton,69.464,649010
R0388,huyton,71.663,718343
R0389,garston,70.893,772328
R0390,huyton,71.661,718343
R0391,fazakerley,70.566,652403
R0392,huyton,70.112,718343
R0393,fazakerley,71.261,652403
R0394,garston,69.432,772328
R0395,maghull,70.376,540406
R0396,maghull,71.370,540406
R0397,kirkby,71.351,160719
R0398,wavertree,72.344,859590
R0399,bootle,73.029,573715
R0400,childwall,70.790,307658
R0401,knotty_ash,71.319,427016
R0402,west_derby,72.179,912924
R0403,maghull,70.847,540406
R0404,prescot,71.308,518026
R0405,garston,70.201,772328
R0406,kirkby,73.004,160719
R0407,childwall,70.368,307658
R0408,crosby,69.846,766608
R0409,crosby,69.352,766608
R0410,kirkdale,68.420,423446
R0411,crosby,72.779,766608
R0412,anfield,71.043,661467
R0413,sefton_park,71.381,555442
R0414,everton,73.616,558248
R0415,kirkdale,70.828,423446
R0416,speke,69.784,859507
R0417,aigburth,70.820,414427
R0418,huyton,70.215,718343
R0419,birkenhead,68.766,339386
R0420,toxteth,70.121,525193
R0421,toxteth,70.948,525193
R0422,toxteth,71.171,525193
R0423,childwall,72.305,307658
R0424,maghull,70.978,540406
R0425,fazakerley,69.227,652403
R0426,maghull,71.744,540406
R0427,everton,71.291,558248
R0428,speke,71.738,859507
R0429,mossley_hill,70.932,965305
R0430,west_derby,70.621,912924
R0431,anfield,70.594,661467
R0432,allerton,69.562,649010
R0433,bootle,70.042,573715
R0434,knotty_ash,69.078,427016
R0435,maghull,71.988,540406
R0436,toxteth,71.108,525193
R0437,bootle,69.306,573715
R0438,everton,72.545,558248
R0439,toxteth,70.676,525193
R0440,knotty_ash,67.918,427016
R0441,everton,71.164,558248
R0442,anfield,69.978,661467
R0443,birkenhead,71.541,339386
R0444,birkenhead,70.987,339386
R0445,childwall,71.798,307658
R0446,old_swan,71.452,784452
R0447,west_derby,72.421,912924
R0448,toxteth,69.916,525193
R0449,mossley_hill,69.938,965305
R0450,aigburth,71.755,414427
R0451,allerton,72.634,649010
R0452,woolton,70.284,444719
R0453,allerton,69.968,649010
R0454,wavertree,70.309,859590
R0455,mossley_hill,71.793,965305
R0456,west_derby,72.495,912924
R0457,huyton,70.465,718343
R0458,prescot,71.679,518026
R0459,mossley_hill,71.925,965305
R0460,anfield,70.757,661467
R0461,everton,70.343,558248
R0462,huyton,71.144,718343
R0463,kirkdale,71.670,423446
R0464,knotty_ash,71.500,427016
R0465,woolton,69.701,444719
R0466,crosby,70.691,766608
R0467,knotty_ash,67.676,427016
R0468,aigburth,71.577,414427
R0469,everton,70.036,558248
R0470,mossley_hill,71.330,965305
R0471,prescot,72.772,518026
R0472,kirkdale,72.919,423446
R0473,knotty_ash,70.903,427016
R0474,prescot,71.143,518026
R0475,birkenhead,73.283,339386
R0476,kirkby,71.123,160719
R0477,garston,68.839,772328
R0478,west_derby,71.753,912924
R0479,crosby,69.542,766608
R0480,huyton,70.979,718343
R0481,fazakerley,71.430,652403
R0482,anfield,70.185,661467
R0483,woolton,71.990,444719
R0484,kirkby,71.300,160719
R0485,everton,70.268,558248
R0486,birkenhead,71.070,339386
R0487,broadgreen,71.159,833023
R0488,everton,70.850,558248
R0489,speke,71.160,859507
R0490,allerton,71.054,649010
R0491,birkenhead,70.279,339386
R0492,garston,70.665,772328
R0493,childwall,70.604,307658
R0494,old_swan,71.900,784452
R0495,west_derby,71.632,912924
R0496,bootle,71.047,573715
R0497,west_derby,69.466,912924
R0498,woolton,71.390,444719
R0499,toxteth,70.254,525193
R0500,fazakerley,70.535,652403
R0501,prescot,72.372,518026
R0502,everton,71.782,558248
R0503,woolton,70.739,444719
R0504,kirkby,72.536,160719
R0505,aigburth,71.640,414427
R0506,west_derby,70.634,912924
R0507,woolton,71.081,444719
R0508,anfield,71.185,661467
R0509,kirkby,71.922,160719
R0510,prescot,72.533,518026
R0511,childwall,68.414,307658
R0512,wavertree,71.707,859590
R0513,allerton,70.432,649010
R0514,everton,71.574,558248
R0515,huyton,68.863,718343
R0516,garston,72.469,772328
R0517,garston,71.199,772328
R0518,aigburth,70.522,414427
R0519,prescot,69.279,518026
R0520,wavertree,71.727,859590
R0521,kirkdale,70.867,423446
R0522,maghull,70.220,540406
R0523,mossley_hill,70.429,965305
R0524,aigburth,71.704,414427
R0525,childwall,71.817,307658
R0526,west_derby,68.776,912924
R0527,huyton,72.174,718343
R0528,kirkby,70.269,160719
R0529,woolton,71.063,444719
R0530,knotty_ash,72.349,427016
R0531,crosby,72.417,766608
R0532,anfield,69.490,661467
R0533,garston,70.636,772328
R0534,kirkby,72.208,160719
R0535,knotty_ash,70.175,427016
R0536,maghull,69.841,540406
R0537,woolton,71.527,444719
R0538,childwall,70.611,307658
R0539,garston,70.189,772328
R0540,bootle,72.720,573715
R0541,anfield,70.940,661467
R0542,fazakerley,69.784,652403
R0543,anfield,71.644,661467
R0544,old_swan,70.774,784452
R0545,woolton,71.597,444719
R0546,maghull,70.730,540406
R0547,kirkby,72.239,160719
R0548,mossley_hill,71.640,965305
R0549,fazakerley,70.692,652403
R0550,sefton_park,71.455,555442
R0551,toxteth,71.535,525193
R0552,speke,71.250,859507
R0553,garston,70.128,772328
R0554,knotty_ash,70.136,427016
R0555,garston,70.129,772328
R0556,woolton,70.985,444719
R0557,west_derby,71.087,912924
R0558,knotty_ash,70.257,427016
R0559,kirkdale,71.504,423446
R0560,kirkby,70.853,160719
R0561,mossley_hill,71.022,965305
R0562,birkenhead,71.111,339386
R0563,old_swan,71.031,784452
R0564,kirkdale,71.203,423446
R0565,sefton_park,71.540,555442
R0566,birkenhead,72.294,339386
R0567,toxteth,71.067,525193
R0568,huyton,71.003,718343
R0569,speke,70.031,859507
R0570,anfield,69.129,661467
R0571,allerton,70.821,649010
R0572,birkenhead,69.842,339386
R0573,knotty_ash,70.601,427016
R0574,toxteth,70.234,525193
R0575,broadgreen,69.016,833023
R0576,allerton,72.211,649010
R0577,old_swan,71.991,784452
R0578,childwall,71.644,307658
R0579,maghull,73.116,540406
R0580,broadgreen,70.859,833023
R0581,anfield,69.229,661467
R0582,broadgreen,71.664,833023
R0583,allerton,70.742,649010
R0584,allerton,70.234,649010
R0585,old_swan,71.421,784452
R0586,woolton,72.060,444719
R0587,kirkdale,69.889,423446
R0588,allerton,71.319,649010
R0589,anfield,68.707,661467
R0590,aigburth,72.362,414427
R0591,woolton,70.908,444719
R0592,toxteth,70.195,525193
R0593,wavertree,71.138,859590
R0594,huyton,73.104,718343
R0595,everton,72.082,558248
R0596,everton,73.632,558248
R0597,mossley_hill,71.882,965305
R0598,west_derby,72.185,912924
R0599,broadgreen,71.058,833023
R0600,woolton,71.190,444719
R0601,woolton,71.366,444719
R0602,crosby,72.596,766608
R0603,huyton,70.442,718343
R0604,aigburth,73.288,414427
R0605,old_swan,70.874,784452
R0606,kirkdale,71.132,423446
R0607,broadgreen,70.837,833023
R0608,woolton,71.618,444719
R0609,woolton,70.743,444719
R0610,knotty_ash,70.866,427016
R0611,speke,70.873,859507
R0612,anfield,71.476,661467
R0613,sefton_park,72.253,555442
R0614,maghull,73.932,540406
R0615,mossley_hill,70.073,965305
R0616,everton,69.554,558248
R0617,kirkdale,73.127,423446
R0618,maghull,70.141,540406
R0619,fazakerley,71.668,652403
R0620,anfield,73.713,661467
R0621,wavertree,70.242,859590
R0622,west_derby,71.195,912924
R0623,everton,71.106,558248
R0624,speke,73.322,859507
R0625,knotty_ash,72.228,427016
R0626,mossley_hill,70.711,965305
R0627,old_swan,70.855,784452
R0628,allerton,71.792,649010
R0629,prescot,71.081,518026
R0630,fazakerley,69.717,652403
R0631,toxteth,69.561,525193
R0632,wavertree,71.878,859590
R0633,mossley_hill,72.185,965305
R0634,woolton,71.377,444719
R0635,everton,71.490,558248
R0636,kirkdale,71.029,423446
R0637,toxteth,69.317,525193
R0638,mossley_hill,70.902,965305
R0639,everton,68.551,558248
R0640,broadgreen,72.231,833023
R0641,crosby,71.959,766608
R0642,kirkdale,70.624,423446
R0643,mossley_hill,71.332,965305
R0644,west_derby,70.191,912924
R0645,everton,71.887,558248
R0646,allerton,71.085,649010
R0647,birkenhead,69.939,339386
R0648,childwall,71.583,307658
R0649,aigburth,70.718,414427
R0650,kirkby,72.270,160719
R0651,old_swan,70.792,784452
R0652,crosby,70.427,766608
R0653,crosby,69.550,766608
R0654,sefton_park,72.775,555442
R0655,huyton,69.734,718343
R0656,old_swan,70.997,784452
R0657,sefton_park,70.411,555442
R0658,knotty_ash,70.482,427016
R0659,garston,71.195,772328
R0660,prescot,71.771,518026
R0661,childwall,69.773,307658
R0662,aigburth,69.732,414427
R0663,birkenhead,69.925,339386
R0664,toxteth,71.144,525193
R0665,huyton,69.995,718343
R0666,aigburth,69.084,414427
R0667,everton,71.198,558248
R0668,knotty_ash,69.560,427016
R0669,kirkdale,71.391,423446
R0670,kirkdale,69.986,423446
R0671,childwall,71.556,307658
R0672,allerton,70.796,649010
R0673,aigburth,72.816,414427
R0674,speke,70.997,859507
R0675,speke,70.818,859507
R0676,wavertree,71.912,859590
R0677,huyton,71.175,718343
R0678,childwall,69.426,307658
R0679,childwall,70.919,307658
R0680,speke,70.551,859507
R0681,mossley_hill,70.122,965305
R0682,broadgreen,70.776,833023
R0683,fazakerley,70.275,652403
R0684,west_derby,70.243,912924
R0685,woolton,71.186,444719
R0686,broadgreen,69.652,833023
R0687,broadgreen,69.178,833023
R0688,everton,73.044,558248
R0689,old_swan,72.295,784452
R0690,wavertree,69.192,859590
R0691,maghull,69.657,540406
R0692,knotty_ash,71.863,427016
R0693,knotty_ash,70.796,427016
R0694,crosby,70.804,766608
R0695,west_derby,70.434,912924
R0696,mossley_hill,71.263,965305
R0697,old_swan,70.326,784452
R0698,everton,70.049,558248
R0699,kirkby,71.828,160719
R0700,prescot,72.923,518026
R0701,bootle,71.270,573715
R0702,huyton,69.188,718343
R0703,bootle,69.429,573715
R0704,prescot,70.607,518026
R0705,prescot,70.963,518026
R0706,knotty_ash,72.019,427016
R0707,garston,70.774,772328
R0708,mossley_hill,70.342,965305
R0709,crosby,71.495,766608
R0710,allerton,70.621,649010
R0711,sefton_park,71.495,555442
R0712,fazakerley,68.533,652403
R0713,woolton,71.787,444719
R0714,mossley_hill,70.456,965305
R0715,kirkby,71.314,160719
R0716,sefton_park,71.813,555442
R0717,kirkdale,70.742,423446
R0718,garston,69.477,772328
R0719,maghull,70.989,540406
R0720,prescot,71.387,518026
R0721,maghull,70.441,540406
R0722,aigburth,70.734,414427
R0723,birkenhead,72.135,339386
R0724,anfield,73.206,661467
R0725,kirkdale,72.528,423446
R0726,aigburth,70.564,414427
R0727,maghull,70.279,540406
R0728,birkenhead,72.040,339386
R0729,aigburth,70.554,414427
R0730,aigburth,73.343,414427
R0731,crosby,70.913,766608
R0732,west_derby,69.409,912924
R0733,childwall,72.275,307658
R0734,prescot,71.325,518026
R0735,broadgreen,71.111,833023
R0736,broadgreen,69.295,833023
R0737,woolton,71.192,444719
R0738,bootle,71.316,573715
R0739,old_swan,68.968,784452
R0740,woolton,71.042,444719
R0741,wavertree,71.520,859590
R0742,toxteth,70.563,525193
R0743,fazakerley,71.300,652403
R0744,broadgreen,71.552,833023
R0745,mossley_hill,72.796,965305
R0746,knotty_ash,72.640,427016
R0747,kirkby,72.291,160719
R0748,west_derby,70.430,912924
R0749,garston,69.506,772328
R0750,birkenhead,69.938,339386
R0751,broadgreen,70.886,833023
R0752,woolton,71.571,444719
R0753,anfield,70.674,661467
R0754,childwall,69.123,307658
R0755,aigburth,70.712,414427
R0756,garston,72.157,772328
R0757,everton,70.076,558248
R0758,crosby,70.738,766608
R0759,allerton,70.963,649010
R0760,toxteth,70.145,525193
R0761,broadgreen,68.688,833023
R0762,wavertree,72.125,859590
R0763,bootle,68.701,573715
R0764,woolton,72.329,444719
R0765,prescot,70.860,518026
R0766,crosby,71.586,766608
R0767,huyton,72.173,718343
R0768,maghull,72.761,540406
R0769,kirkby,68.971,160719
R0770,mossley_hill,73.786,965305
R0771,knotty_ash,70.072,427016
R0772,bootle,69.362,573715
R0773,garston,69.829,772328
R0774,bootle,69.430,573715
R0775,speke,71.371,859507
R0776,huyton,72.370,718343
R0777,bootle,70.616,573715
R0778,sefton_park,71.423,555442
R0779,broadgreen,68.119,833023
R0780,garston,71.836,772328
R0781,childwall,70.171,307658
R0782,anfield,71.641,661467
R0783,childwall,71.750,307658
R0784,crosby,70.492,766608
R0785,woolton,71.117,444719
R0786,anfield,70.573,661467
R0787,mossley_hill,71.707,965305
R0788,fazakerley,70.535,652403
R0789,childwall,69.065,307658
R0790,huyton,70.654,718343
R0791,aigburth,71.340,414427
R0792,kirkby,69.669,160719
R0793,allerton,69.835,649010
R0794,childwall,72.017,307658
R0795,knotty_ash,71.170,427016
R0796,everton,70.033,558248
R0797,garston,70.425,772328
R0798,allerton,70.194,649010
R0799,kirkby,68.725,160719
R0800,broadgreen,69.310,833023
R0801,birkenhead,68.990,339386
R0802,maghull,70.831,540406
R0803,sefton_park,71.616,555442
R0804,sefton_park,73.788,555442
R0805,prescot,70.197,518026
R0806,everton,70.523,558248
R0807,woolton,71.134,444719
R0808,prescot,69.921,518026
R0809,anfield,70.904,661467
R0810,sefton_park,72.043,555442
R0811,sefton_park,72.527,555442
R0812,sefton_park,72.512,555442
R0813,maghull,72.278,540406
R0814,speke,69.858,859507
R0815,crosby,68.416,766608
R0816,everton,70.540,558248
R0817,childwall,70.197,307658
R0818,garston,71.536,772328
R0819,crosby,68.447,766608
R0820,wavertree,72.273,859590
R0821,speke,72.098,859507
R0822,huyton,71.868,718343
R0823,bootle,69.475,573715
R0824,fazakerley,69.555,652403
R0825,sefton_park,72.201,555442
R0826,birkenhead,71.277,339386
R0827,prescot,72.476,518026
R0828,toxteth,69.822,525193
R0829,kirkdale,73.412,423446
R0830,huyton,70.614,718343
R0831,toxteth,68.741,525193
R0832,huyton,69.240,718343
R0833,maghull,70.064,540406
R0834,mossley_hill,71.618,965305
R0835,bootle,69.491,573715
R0836,garston,71.626,772328
R0837,allerton,72.129,649010
R0838,old_swan,70.313,784452
R0839,prescot,70.659,518026
R0840,kirkdale,70.881,423446
R0841,kirkby,69.832,160719
