reading_id,district,signal_strength,district_code
R0001,wavertree,72.568,549850
R0002,aigburth,71.900,262074
R0003,knotty_ash,69.627,800856
R0004,sefton_park,69.011,153935
R0005,sefton_park,71.914,153935
R0006,maghull,71.020,703071
R0007,anfield,71.495,985596
R0008,woolton,72.629,888659
R0009,fazakerley,73.173,116939
R0010,anfield,72.066,985596
R0011,anfield,72.777,985596
R0012,kirkby,71.761,686135
R0013,wavertree,71.084,549850
R0014,old_swan,72.034,580599
R0015,kirkdale,71.708,953119
R0016,fazakerley,69.085,116939
R0017,garston,71.730,646051
R0018,woolton,72.026,888659
R0019,old_swan,71.725,580599
R0020,kirkby,70.955,686135
R0021,knotty_ash,72.532,800856
R0022,sefton_park,70.839,153935
R0023,old_swan,69.993,580599
R0024,old_swan,69.743,580599
R0025,speke,70.127,265343
R0026,garston,73.712,646051
R0027,broadgreen,73.118,207929
R0028,allerton,72.418,435709
R0029,broadgreen,70.354,207929
R0030,childwall,71.184,677977
R0031,woolton,70.919,888659
R0032,anfield,71.012,985596
R0033,allerton,72.124,435709
R0034,kirkdale,71.638,953119
R0035,broadgreen,70.281,207929
R0036,garston,72.395,646051
R0037,garston,73.102,646051
R0038,mossley_hill,71.334,304775
R0039,everton,72.452,441391
R0040,speke,70.254,265343
R0041,maghull,70.165,703071
R0042,bootle,70.655,284529
R0043,kirkdale,72.182,953119
R0044,huyton,69.013,199675
R0045,old_swan,70.101,580599
R0046,prescot,70.985,995462
R0047,crosby,69.784,261108
R0048,maghull,71.551,703071
R0049,huyton,70.381,199675
R0050,sefton_park,71.183,153935
R0051,west_derby,72.860,445751
R0052,toxteth,71.859,437363
R0053,sefton_park,72.806,153935
R0054,anfield,72.691,985596
R0055,aigburth,71.525,262074
R0056,maghull,71.016,703071
R0057,garston,73.369,646051
R0058,mossley_hill,70.095,304775
R0059,bootle,70.531,284529
R0060,knotty_ash,72.960,800856
R0061,bootle,71.799,284529
R0062,knotty_ash,74.038,800856
R0063,mossley_hill,70.591,304775
R0064,wavertree,71.055,549850
R0065,allerton,72.253,435709
R0066,aigburth,72.601,262074
R0067,knotty_ash,72.624,800856
R0068,childwall,71.047,677977
R0069,speke,71.595,265343
R0070,bootle,71.237,284529
R0071,prescot,70.731,995462
R0072,kirkby,70.544,686135
R0073,kirkby,70.999,686135
R0074,knotty_ash,72.249,800856
R0075,knotty_ash,72.114,800856
R0076,garston,70.248,646051
R0077,sefton_park,71.077,153935
R0078,mossley_hill,72.412,304775
R0079,kirkby,70.809,686135
R0080,sefton_park,70.800,153935
R0081,garston,73.585,646051
R0082,bootle,69.740,284529
R0083,birkenhead,70.688,127277
R0084,prescot,74.136,995462
R0085,prescot,72.306,995462
R0086,garston,71.543,646051
R0087,allerton,71.051,435709
R0088,huyton,69.954,199675
R0089,old_swan,71.295,580599
R0090,broadgreen,71.227,207929
R0091,anfield,70.891,985596
R0092,west_derby,72.005,445751
R0093,bootle,73.431,284529
R0094,kirkdale,72.669,953119
R0095,garston,72.766,646051
R0096,everton,70.755,441391
R0097,toxteth,70.732,437363
R0098,childwall,72.505,677977
R0099,kirkdale,70.738,953119
R0100,speke,71.324,265343
R0101,broadgreen,71.734,207929
R0102,crosby,70.958,261108
R0103,toxteth,72.897,437363
R0104,bootle,73.084,284529
R0105,toxteth,72.881,437363
R0106,everton,71.074,441391
R0107,garston,72.073,646051
R0108,anfield,71.008,985596
R0109,sefton_park,72.443,153935
R0110,everton,71.012,441391
R0111,aigburth,71.465,262074
R0112,toxteth,69.965,437363
R0113,allerton,71.823,435709
R0114,west_derby,69.792,445751
R0115,sefton_park,71.358,153935
R0116,childwall,70.545,677977
R0117,speke,72.035,265343
R0118,west_derby,72.485,445751
R0119,childwall,72.524,677977
R0120,mossley_hill,72.974,304775
R0121,birkenhead,72.627,127277
R0122,childwall,71.057,677977
R0123,toxteth,71.156,437363
R0124,crosby,71.476,261108
R0125,sefton_park,71.767,153935
R0126,huyton,70.935,199675
R0127,everton,70.989,441391
R0128,aigburth,71.984,262074
R0129,prescot,72.349,995462
R0130,mossley_hill,71.967,304775
R0131,maghull,70.836,703071
R0132,knotty_ash,71.503,800856
R0133,kirkdale,69.880,953119
R0134,bootle,71.483,284529
R0135,speke,71.462,265343
R0136,anfield,71.686,985596
R0137,aigburth,71.076,262074
R0138,maghull,70.948,703071
R0139,aigburth,71.661,262074
R0140,speke,72.063,265343
R0141,kirkdale,73.727,953119
R0142,maghull,71.061,703071
R0143,everton,71.331,441391
R0144,wavertree,70.486,549850
R0145,anfield,70.767,985596
R0146,everton,72.584,441391
R0147,childwall,69.338,677977
R0148,sefton_park,74.023,153935
R0149,woolton,73.320,888659
R0150,knotty_ash,72.827,800856
R0151,childwall,70.977,677977
R0152,huyton,71.250,199675
R0153,mossley_hill,72.657,304775
R0154,fazakerley,71.677,116939
R0155,aigburth,73.123,262074
R0156,garston,70.368,646051
R0157,wavertree,69.431,549850
R0158,crosby,69.464,261108
R0159,wavertree,71.606,549850
R0160,prescot,68.416,995462
R0161,maghull,71.539,703071
R0162,woolton,70.459,888659
R0163,allerton,72.548,435709
R0164,maghull,71.355,703071
R0165,wavertree,70.492,549850
R0166,sefton_park,71.261,153935
R0167,fazakerley,68.093,116939
R0168,broadgreen,71.536,207929
R0169,sefton_park,71.300,153935
R0170,aigburth,70.413,262074
R0171,sefton_park,70.222,153935
R0172,old_swan,69.945,580599
R0173,sefton_park,71.493,153935
R0174,woolton,73.830,888659
R0175,birkenhead,71.154,127277
R0176,garston,69.596,646051
R0177,sefton_park,68.752,153935
R0178,prescot,69.421,995462
R0179,kirkdale,71.165,953119
R0180,aigburth,72.935,262074
R0181,everton,74.517,441391
R0182,old_swan,71.921,580599
R0183,maghull,71.373,703071
R0184,allerton,70.023,435709
R0185,west_derby,71.653,445751
R0186,crosby,72.279,261108
R0187,speke,70.907,265343
R0188,prescot,70.954,995462
R0189,birkenhead,71.195,127277
R0190,west_derby,70.399,445751
R0191,speke,70.893,265343
R0192,aigburth,70.356,262074
R0193,crosby,69.624,261108
R0194,prescot,70.819,995462
R0195,woolton,72.246,888659
R0196,toxteth,71.518,437363
R0197,mossley_hill,71.026,304775
R0198,crosby,69.427,261108
R0199,bootle,70.615,284529
R0200,wavertree,72.382,549850
R0201,toxteth,71.983,437363
R0202,woolton,71.273,888659
R0203,west_derby,71.720,445751
R0204,prescot,68.499,995462
R0205,sefton_park,72.423,153935
R0206,kirkby,72.196,686135
R0207,knotty_ash,72.198,800856
R0208,everton,69.797,441391
R0209,knotty_ash,72.627,800856
R0210,woolton,71.216,888659
R0211,mossley_hill,70.453,304775
R0212,knotty_ash,68.680,800856
R0213,garston,70.482,646051
R0214,childwall,70.874,677977
R0215,speke,69.861,265343
R0216,aigburth,73.281,262074
R0217,maghull,70.857,703071
