record_id,sector,status,authentic,priority,units,multiplier,bias_key
R0001,transit,ACTIVE,1,7,220,1,4983
R0002,transit,ACTIVE,1,5,220,1,4983
R0003,water,ACTIVE,1,4,220,1,4983
R0004,water,ACTIVE,1,6,220,1,4983
R0005,transit,ACTIVE,1,5,220,1,4983
R0006,transit,ACTIVE,1,7,220,1,4983
R0007,power,ACTIVE,1,4,220,1,4983
R0008,traffic,ACTIVE,1,5,220,1,4983
R0009,traffic,ACTIVE,1,5,220,1,4983
R0010,power,ACTIVE,1,5,220,1,4983
R0011,emergency,ACTIVE,1,5,220,1,4983
R0012,communications,ACTIVE,1,5,220,1,4983
R0013,emergency,ACTIVE,1,5,220,1,4983
R0014,power,ACTIVE,1,7,220,1,4983
R0015,power,ACTIVE,1,7,220,1,4983
R0016,water,ACTIVE,1,7,220,1,4983
R0017,waste,ACTIVE,1,7,220,1,4983
R0018,emergency,ACTIVE,1,7,220,1,4983
R0019,waste,ACTIVE,1,6,220,1,4983
R0020,power,ACTIVE,1,5,220,1,4983
R0021,communications,ACTIVE,1,7,220,1,4983
R0022,emergency,ACTIVE,1,5,220,1,4983
R0023,waste,ACTIVE,1,5,220,1,4983
R0024,transit,ACTIVE,1,4,220,1,4983
R0025,transit,ACTIVE,1,7,220,1,4983
R0026,transit,ACTIVE,1,6,220,1,4983
R0027,communications,ACTIVE,1,7,220,1,4983
R0028,waste,ACTIVE,1,4,220,1,4983
R0029,traffic,ACTIVE,1,5,220,1,4983
R0030,waste,ACTIVE,1,7,220,1,4983
R0031,communications,ACTIVE,1,5,220,1,4983
R0032,communications,ACTIVE,1,5,220,1,4983
R0033,transit,ACTIVE,1,7,220,1,4983
R0034,communications,ACTIVE,1,5,220,1,4983
R0035,power,ACTIVE,1,4,220,1,4983
R0036,transit,ACTIVE,1,5,220,1,4983
R0037,water,ACTIVE,1,6,220,1,4983
R0038,emergency,ACTIVE,1,6,220,1,4983
R0039,water,ACTIVE,1,4,220,1,4983
R0040,communications,ACTIVE,1,5,220,1,4983
R0041,water,ACTIVE,1,6,220,1,4983
R0042,emergency,ACTIVE,1,7,220,1,4983
R0043,transit,ACTIVE,1,5,220,1,4983
R0044,waste,ACTIVE,1,7,220,1,4983
R0045,power,ACTIVE,1,6,220,1,4983
R0046,transit,ACTIVE,1,7,220,1,4983
R0047,traffic,ACTIVE,1,7,220,1,4983
R0048,power,ACTIVE,1,7,220,1,4983
R0049,power,ACTIVE,1,6,220,1,4983
R0050,waste,ACTIVE,1,4,220,1,4983
R0051,water,ACTIVE,1,6,220,1,4983
R0052,waste,ACTIVE,1,4,220,1,4983
R0053,traffic,ACTIVE,1,5,220,1,4983
R0054,water,ACTIVE,1,7,220,1,4983
R0055,water,ACTIVE,1,5,220,1,4983
R0056,traffic,ACTIVE,1,5,220,1,4983
R0057,power,ACTIVE,1,4,220,1,4983
R0058,water,ACTIVE,1,5,220,1,4983
R0059,transit,ACTIVE,1,4,220,1,4983
R0060,traffic,ACTIVE,1,6,220,1,4983
R0061,communications,ACTIVE,1,4,220,1,4983
R0062,transit,ACTIVE,1,4,220,1,4983
R0063,waste,ACTIVE,1,5,220,1,4983
R0064,water,ACTIVE,1,5,220,1,4983
R0065,communications,ACTIVE,1,7,220,1,4983
R0066,communications,ACTIVE,1,4,220,1,4983
R0067,emergency,ACTIVE,1,7,220,1,4983
R0068,water,ACTIVE,1,7,220,1,4983
R0069,traffic,ACTIVE,1,5,220,1,4983
R0070,traffic,ACTIVE,1,6,220,1,4983
R0071,traffic,ACTIVE,1,7,220,1,4983
R0072,traffic,ACTIVE,1,7,220,1,4983
R0073,waste,ACTIVE,1,6,220,1,4983
R0074,emergency,ACTIVE,1,5,220,1,4983
R0075,power,ACTIVE,1,4,220,1,4983
R0076,power,ACTIVE,1,6,220,1,4983
R0077,emergency,ACTIVE,1,5,220,1,4983
R0078,waste,ACTIVE,1,5,220,1,4983
R0079,communications,ACTIVE,1,4,220,1,4983
R0080,power,ACTIVE,1,4,220,1,4983
R0081,emergency,ACTIVE,1,4,220,1,4983
R0082,transit,ACTIVE,1,6,220,1,4983
R0083,traffic,ACTIVE,1,7,220,1,4983
R0084,traffic,ACTIVE,1,5,220,1,4983
R0085,emergency,ACTIVE,1,5,220,1,4983
R0086,emergency,ACTIVE,1,6,220,1,4983
R0087,transit,ACTIVE,1,7,220,1,4983
R0088,traffic,ACTIVE,1,7,220,1,4983
R0089,water,ACTIVE,1,6,220,1,4983
R0090,waste,ACTIVE,1,5,220,1,4983
R0091,waste,ACTIVE,1,7,220,1,4983
R0092,communications,ACTIVE,1,6,220,1,4983
R0093,traffic,ACTIVE,1,7,220,1,4983
R0094,transit,ACTIVE,1,5,220,1,4983
R0095,waste,ACTIVE,1,4,220,1,4983
R0096,traffic,ACTIVE,1,5,220,1,4983
R0097,communications,ACTIVE,1,6,220,1,4983
R0098,transit,ACTIVE,1,4,220,1,4983
R0099,power,ACTIVE,1,7,220,1,4983
R0100,traffic,ACTIVE,1,5,220,1,4983
