record_id,sector,status,authentic,priority,units,multiplier,bias_key
R0001,communications,ACTIVE,1,6,220,1,4437
R0002,water,ACTIVE,1,6,220,1,4437
R0003,water,ACTIVE,1,4,220,1,4437
R0004,transit,ACTIVE,1,7,220,1,4437
R0005,waste,ACTIVE,1,6,220,1,4437
R0006,water,ACTIVE,1,7,220,1,4437
R0007,communications,ACTIVE,1,5,220,1,4437
R0008,emergency,ACTIVE,1,5,220,1,4437
R0009,transit,ACTIVE,1,7,220,1,4437
R0010,traffic,ACTIVE,1,6,220,1,4437
R0011,communications,ACTIVE,1,4,220,1,4437
R0012,traffic,ACTIVE,1,6,220,1,4437
R0013,traffic,ACTIVE,1,5,220,1,4437
R0014,emergency,ACTIVE,1,6,220,1,4437
R0015,waste,ACTIVE,1,5,220,1,4437
R0016,communications,ACTIVE,1,6,220,1,4437
R0017,waste,ACTIVE,1,6,220,1,4437
R0018,power,ACTIVE,1,6,220,1,4437
R0019,emergency,ACTIVE,1,4,220,1,4437
R0020,transit,ACTIVE,1,6,220,1,4437
R0021,transit,ACTIVE,1,5,220,1,4437
R0022,emergency,ACTIVE,1,5,220,1,4437
R0023,power,ACTIVE,1,6,220,1,4437
R0024,power,ACTIVE,1,6,220,1,4437
R0025,traffic,ACTIVE,1,4,220,1,4437
R0026,transit,ACTIVE,1,6,220,1,4437
R0027,communications,ACTIVE,1,5,220,1,4437
R0028,power,ACTIVE,1,4,220,1,4437
R0029,traffic,ACTIVE,1,6,220,1,4437
R0030,communications,ACTIVE,1,6,220,1,4437
R0031,traffic,ACTIVE,1,5,220,1,4437
R0032,communications,ACTIVE,1,5,220,1,4437
R0033,power,ACTIVE,1,4,220,1,4437
R0034,communications,ACTIVE,1,6,220,1,4437
R0035,power,ACTIVE,1,4,220,1,4437
R0036,water,ACTIVE,1,7,220,1,4437
R0037,waste,COMPLETE,1,1,30,134,4437
R0038,communications,ACTIVE,1,4,220,1,4437
R0039,power,ACTIVE,1,6,220,1,4437
R0040,traffic,ACTIVE,1,5,220,1,4437
R0041,traffic,ACTIVE,1,5,220,1,4437
R0042,traffic,ACTIVE,1,5,220,1,4437
R0043,water,ACTIVE,1,5,220,1,4437
R0044,communications,ACTIVE,1,5,220,1,4437
R0045,communications,ACTIVE,1,7,220,1,4437
R0046,water,ACTIVE,1,5,220,1,4437
R0047,transit,ACTIVE,1,4,220,1,4437
R0048,traffic,ACTIVE,1,7,220,1,4437
R0049,communications,ACTIVE,1,6,220,1,4437
R0050,power,ACTIVE,1,5,220,1,4437
R0051,emergency,ACTIVE,1,5,220,1,4437
R0052,waste,ACTIVE,0,7,154,134,4437
R0053,transit,ACTIVE,1,7,220,1,4437
R0054,traffic,ACTIVE,1,4,220,1,4437
R0055,power,ACTIVE,1,5,220,1,4437
R0056,traffic,ACTIVE,1,4,220,1,4437
R0057,traffic,ACTIVE,1,7,220,1,4437
R0058,power,ACTIVE,1,4,220,1,4437
R0059,power,ACTIVE,1,6,220,1,4437
R0060,transit,ACTIVE,1,7,220,1,4437
R0061,power,ACTIVE,1,7,220,1,4437
R0062,emergency,ACTIVE,1,6,220,1,4437
R0063,power,ACTIVE,1,6,220,1,4437
R0064,communications,ACTIVE,1,6,220,1,4437
R0065,communications,ACTIVE,1,5,220,1,4437
R0066,water,ACTIVE,1,5,220,1,4437
R0067,transit,ACTIVE,1,6,220,1,4437
R0068,emergency,ACTIVE,1,7,220,1,4437
R0069,water,ACTIVE,1,6,220,1,4437
R0070,emergency,ACTIVE,1,5,220,1,4437
R0071,transit,ACTIVE,1,5,220,1,4437
R0072,waste,ACTIVE,1,7,220,1,4437
R0073,emergency,ACTIVE,1,5,220,1,4437
R0074,transit,ACTIVE,1,7,220,1,4437
R0075,emergency,ACTIVE,1,4,220,1,4437
R0076,water,ACTIVE,1,6,220,1,4437
R0077,communications,ACTIVE,1,6,220,1,4437
R0078,power,ACTIVE,1,7,220,1,4437
R0079,transit,ACTIVE,1,7,220,1,4437
R0080,communications,ACTIVE,1,6,220,1,4437
R0081,transit,ACTIVE,1,7,220,1,4437
R0082,transit,ACTIVE,1,6,220,1,4437
R0083,water,ACTIVE,1,5,220,1,4437
R0084,communications,QUEUED,1,1,171,35,4437
R0085,emergency,ACTIVE,1,3,14,88,4437
R0086,transit,ACTIVE,1,6,220,1,4437
R0087,water,ACTIVE,1,4,220,1,4437
R0088,transit,ACTIVE,1,7,220,1,4437
R0089,water,ACTIVE,1,5,220,1,4437
R0090,traffic,ACTIVE,0,5,99,67,4437
R0091,water,ACTIVE,1,7,220,1,4437
R0092,water,ACTIVE,1,4,220,1,4437
R0093,waste,ACTIVE,1,7,220,1,4437
R0094,power,ACTIVE,1,4,220,1,4437
R0095,traffic,ACTIVE,1,4,220,1,4437
R0096,transit,ACTIVE,1,6,220,1,4437
R0097,power,ACTIVE,1,4,220,1,4437
R0098,traffic,ACTIVE,1,7,220,1,4437
R0099,traffic,ACTIVE,1,6,220,1,4437
R0100,emergency,ACTIVE,1,7,220,1,4437
R0101,traffic,ACTIVE,1,4,220,1,4437
R0102,communications,ACTIVE,1,7,220,1,4437
R0103,traffic,ACTIVE,1,5,220,1,4437
R0104,emergency,ACTIVE,1,5,220,1,4437
R0105,power,ACTIVE,1,6,113,120,4437
R0106,water,ACTIVE,1,6,220,1,4437
R0107,emergency,ACTIVE,1,4,220,1,4437
R0108,traffic,ACTIVE,1,6,220,1,4437
R0109,communications,ACTIVE,1,5,220,1,4437
R0110,transit,ACTIVE,1,5,220,1,4437
R0111,power,COMPLETE,1,6,127,65,4437
R0112,emergency,ACTIVE,1,7,220,1,4437
R0113,water,ACTIVE,1,5,220,1,4437
R0114,communications,ACTIVE,1,5,220,1,4437
R0115,transit,ACTIVE,1,5,220,1,4437
R0116,waste,ACTIVE,1,6,220,1,4437
R0117,traffic,ACTIVE,1,6,220,1,4437
R0118,power,ACTIVE,1,4,220,1,4437
R0119,waste,ACTIVE,1,7,220,1,4437
R0120,transit,ACTIVE,1,5,220,1,4437
R0121,emergency,ACTIVE,1,7,220,1,4437
R0122,traffic,ACTIVE,1,5,58,134,4437
R0123,traffic,ACTIVE,1,6,220,1,4437
R0124,communications,ACTIVE,1,3,16,93,4437
R0125,power,ACTIVE,1,6,220,1,4437
R0126,power,ACTIVE,1,5,220,1,4437
R0127,transit,ACTIVE,1,5,220,1,4437
R0128,communications,ACTIVE,1,4,220,1,4437
R0129,transit,ACTIVE,1,6,220,1,4437
R0130,communications,ACTIVE,1,5,220,1,4437
R0131,communications,ACTIVE,1,6,220,1,4437
R0132,transit,ACTIVE,1,5,220,1,4437
R0133,water,ACTIVE,1,5,220,1,4437
R0134,emergency,ACTIVE,1,7,220,1,4437
R0135,transit,ACTIVE,1,5,220,1,4437
R0136,emergency,ACTIVE,1,6,220,1,4437
R0137,water,ACTIVE,1,4,220,1,4437
R0138,emergency,ACTIVE,1,7,220,1,4437
