reading_id,district,signal_strength,district_code
R0001,prescot,72.314,363061
R0002,broadgreen,68.915,855185
R0003,garston,69.557,762764
R0004,aigburth,70.126,979387
R0005,kirkdale,71.259,547535
R0006,maghull,71.516,676471
R0007,maghull,70.523,676471
R0008,wavertree,72.382,847693
R0009,kirkdale,68.919,547535
R0010,west_derby,71.151,551921
R0011,allerton,69.936,879194
R0012,huyton,70.066,898208
R0013,everton,69.844,140871
R0014,toxteth,73.323,893512
R0015,old_swan,69.561,260873
R0016,bootle,72.164,421948
R0017,woolton,69.591,711022
R0018,anfield,69.928,748408
R0019,sefton_park,68.033,806099
R0020,west_derby,70.287,551921
R0021,old_swan,69.344,260873
R0022,childwall,73.340,436510
R0023,crosby,70.653,358675
R0024,crosby,67.730,358675
R0025,sefton_park,68.726,806099
R0026,everton,69.610,140871
R0027,kirkdale,71.151,547535
R0028,fazakerley,72.773,304774
R0029,knotty_ash,68.542,436828
R0030,bootle,71.784,421948
R0031,crosby,70.529,358675
R0032,west_derby,71.577,551921
R0033,old_swan,71.086,260873
R0034,crosby,68.537,358675
R0035,birkenhead,71.471,165044
R0036,knotty_ash,70.207,436828
R0037,knotty_ash,70.168,436828
R0038,sefton_park,68.983,806099
R0039,maghull,71.742,676471
R0040,mossley_hill,70.275,950643
R0041,bootle,70.787,421948
R0042,kirkby,68.143,389505
R0043,knotty_ash,70.554,436828
R0044,wavertree,71.131,847693
R0045,everton,68.443,140871
R0046,prescot,71.632,363061
R0047,old_swan,70.188,260873
R0048,fazakerley,69.953,304774
R0049,prescot,70.651,363061
R0050,mossley_hill,70.768,950643
R0051,speke,70.903,929429
R0052,kirkdale,69.719,547535
R0053,bootle,69.693,421948
R0054,west_derby,69.930,551921
R0055,allerton,71.910,879194
R0056,huyton,70.034,898208
R0057,wavertree,67.797,847693
R0058,huyton,69.746,898208
R0059,woolton,71.144,711022
R0060,kirkby,67.981,389505
R0061,kirkby,69.943,389505
R0062,knotty_ash,69.094,436828
R0063,garston,70.475,762764
R0064,west_derby,70.513,551921
R0065,toxteth,71.619,893512
R0066,birkenhead,72.175,165044
R0067,old_swan,71.163,260873
R0068,prescot,69.850,363061
R0069,crosby,68.587,358675
R0070,birkenhead,70.020,165044
R0071,fazakerley,72.414,304774
R0072,knotty_ash,70.471,436828
R0073,aigburth,69.663,979387
R0074,sefton_park,72.366,806099
R0075,broadgreen,68.586,855185
R0076,knotty_ash,69.378,436828
R0077,birkenhead,71.422,165044
R0078,aigburth,71.112,979387
R0079,woolton,71.324,711022
R0080,broadgreen,71.206,855185
R0081,prescot,72.183,363061
R0082,toxteth,72.385,893512
R0083,west_derby,72.659,551921
R0084,crosby,69.682,358675
R0085,anfield,69.767,748408
R0086,kirkby,71.566,389505
R0087,old_swan,70.332,260873
R0088,kirkdale,70.861,547535
R0089,kirkby,72.084,389505
R0090,anfield,68.547,748408
R0091,kirkby,69.232,389505
R0092,fazakerley,69.913,304774
R0093,birkenhead,70.140,165044
R0094,old_swan,70.862,260873
R0095,garston,71.286,762764
R0096,maghull,72.819,676471
R0097,mossley_hill,70.952,950643
R0098,allerton,69.580,879194
R0099,sefton_park,68.967,806099
R0100,west_derby,69.551,551921
