record_id,sector,status,authentic,priority,units,multiplier,bias_key
R0001,transit,ACTIVE,1,6,220,1,9897
R0002,communications,ACTIVE,1,5,220,1,9897
R0003,power,ACTIVE,1,6,220,1,9897
R0004,power,ACTIVE,1,5,220,1,9897
R0005,traffic,ACTIVE,1,5,220,1,9897
R0006,traffic,ACTIVE,1,1,45,78,9897
R0007,water,ACTIVE,1,7,220,1,9897
R0008,transit,ACTIVE,1,5,220,1,9897
R0009,waste,ACTIVE,1,7,220,1,9897
R0010,traffic,ACTIVE,1,7,220,1,9897
R0011,transit,ACTIVE,1,6,220,1,9897
R0012,emergency,ACTIVE,1,4,220,1,9897
R0013,power,ACTIVE,1,5,220,1,9897
R0014,traffic,ACTIVE,1,7,220,1,9897
R0015,communications,ACTIVE,1,5,220,1,9897
R0016,power,ACTIVE,1,6,220,1,9897
R0017,emergency,ACTIVE,1,7,220,1,9897
R0018,transit,ACTIVE,1,5,220,1,9897
R0019,water,ACTIVE,1,5,220,1,9897
R0020,transit,ACTIVE,1,6,220,1,9897
R0021,communications,ACTIVE,1,4,220,1,9897
R0022,traffic,ACTIVE,1,6,220,1,9897
R0023,waste,ACTIVE,1,6,220,1,9897
R0024,communications,ACTIVE,1,5,220,1,9897
R0025,communications,ACTIVE,1,7,220,1,9897
R0026,communications,ACTIVE,1,6,220,1,9897
R0027,communications,ACTIVE,1,5,220,1,9897
R0028,power,ACTIVE,1,7,220,1,9897
R0029,communications,ACTIVE,1,5,220,1,9897
R0030,emergency,ACTIVE,1,4,220,1,9897
R0031,traffic,ACTIVE,1,6,220,1,9897
R0032,waste,ACTIVE,1,7,220,1,9897
R0033,communications,ACTIVE,1,4,220,1,9897
R0034,power,ACTIVE,1,5,220,1,9897
R0035,water,ACTIVE,1,5,220,1,9897
R0036,transit,ACTIVE,1,6,220,1,9897
R0037,waste,ACTIVE,1,4,220,1,9897
R0038,transit,ACTIVE,1,7,220,1,9897
R0039,traffic,ACTIVE,1,6,220,1,9897
R0040,emergency,ACTIVE,1,7,220,1,9897
R0041,communications,ACTIVE,1,4,220,1,9897
R0042,emergency,ACTIVE,1,5,220,1,9897
R0043,power,ACTIVE,1,5,220,1,9897
R0044,power,ACTIVE,1,4,220,1,9897
R0045,water,ACTIVE,1,4,220,1,9897
R0046,waste,ACTIVE,1,6,220,1,9897
R0047,traffic,ACTIVE,1,4,220,1,9897
R0048,transit,ACTIVE,1,4,220,1,9897
R0049,traffic,ACTIVE,1,5,220,1,9897
R0050,emergency,ACTIVE,1,4,220,1,9897
R0051,traffic,ACTIVE,1,5,220,1,9897
